stage,group,cases,seeds,applicability,known_bursts,matched,normal_matches,missed,false_alarms,merged_detections,split_truths,unmatched_overlapping_detections,background_observation_us,detection_rate,normal_detection_rate,false_alarms_per_second,start_error_samples_count,start_absolute_error_samples_count,start_error_us_count,end_error_samples_count,end_absolute_error_samples_count,end_error_us_count,length_error_samples_count,length_absolute_error_samples_count,length_error_us_count,measured_snr_before_quantization_db_count,measured_snr_before_quantization_db_minimum,measured_snr_before_quantization_db_median,measured_snr_before_quantization_db_p95,measured_snr_before_quantization_db_maximum,measured_snr_after_quantization_db_count,measured_snr_after_quantization_db_minimum,measured_snr_after_quantization_db_median,measured_snr_after_quantization_db_p95,measured_snr_after_quantization_db_maximum,start_error_samples_minimum,start_error_samples_median,start_error_samples_p95,start_error_samples_maximum,start_absolute_error_samples_minimum,start_absolute_error_samples_median,start_absolute_error_samples_p95,start_absolute_error_samples_maximum,start_error_us_minimum,start_error_us_median,start_error_us_p95,start_error_us_maximum,end_error_samples_minimum,end_error_samples_median,end_error_samples_p95,end_error_samples_maximum,end_absolute_error_samples_minimum,end_absolute_error_samples_median,end_absolute_error_samples_p95,end_absolute_error_samples_maximum,end_error_us_minimum,end_error_us_median,end_error_us_p95,end_error_us_maximum,length_error_samples_minimum,length_error_samples_median,length_error_samples_p95,length_error_samples_maximum,length_absolute_error_samples_minimum,length_absolute_error_samples_median,length_absolute_error_samples_p95,length_absolute_error_samples_maximum,length_error_us_minimum,length_error_us_median,length_error_us_p95,length_error_us_maximum
s2_boundaries,"offset(128, 128)_amp256",3,"[84001, 84002, 84003]","[""APPLICABLE""]",12,11,1,1,0,0,1,3,491.52,0.9166666666666666,0.08333333333333333,0.0,11,11,11,11,11,11,11,11,11,3,19.96418835901182,19.965097806060147,19.984123679980236,19.98623766597136,3,19.96066479888704,19.962579151058545,19.98229437016107,19.98448495006135,26,480.0,906.5,1213,26,480.0,906.5,1213,0.26,4.8,9.065000000000001,12.13,-363,5.0,11.5,12,2,9.0,187.5,363,-3.63,0.05,0.11499999999999999,0.12,-1211,-469.0,-24.5,-16,16,469.0,1085.5,1211,-12.11,-4.69,-0.245,-0.16
s2_boundaries,"offset(128, 128)_amp8192",3,"[84001, 84002, 84003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,19.96418835901182,19.965097806060147,19.984123679980236,19.98623766597136,3,19.964831942719698,19.965637697227564,19.984669292602195,19.98678391431049,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15
s2_boundaries,"offset(32, 0)_amp1024",3,"[84001, 84002, 84003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,19.96418835901182,19.965097806060147,19.984123679980236,19.98623766597136,3,19.963253124439344,19.96421417617181,19.98295782146644,19.9850404487214,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15
s2_boundaries,"offset(32, 0)_amp256",3,"[84001, 84002, 84003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,19.96418835901182,19.965097806060147,19.984123679980236,19.98623766597136,3,19.96066479888704,19.962579151058545,19.98229437016107,19.98448495006135,1,1.0,1.0,1,1,1.0,1.0,1,0.01,0.01,0.01,0.01,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15,14,14.0,14.0,14,14,14.0,14.0,14,0.14,0.14,0.14,0.14
s2_boundaries,"offset(32, 0)_amp8192",3,"[84001, 84002, 84003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,19.96418835901182,19.965097806060147,19.984123679980236,19.98623766597136,3,19.964831942719698,19.965637697227564,19.984669292602195,19.98678391431049,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15
s2_boundaries,"offset(512, -512)_amp1024",3,"[84001, 84002, 84003]","[""APPLICABLE""]",12,12,0,0,0,0,0,0,491.52,1.0,0.0,0.0,12,12,12,12,12,12,12,12,12,3,19.96418835901182,19.965097806060147,19.984123679980236,19.98623766597136,3,19.963253124439344,19.96421417617181,19.98295782146644,19.9850404487214,85,212.0,529.3,537,85,212.0,529.3,537,0.85,2.12,5.293,5.37,-3,7.0,10.45,11,1,7.0,10.45,11,-0.03,0.07,0.1045,0.11,-530,-203.5,-87.65000000000002,-75,75,203.5,521.75,530,-5.3,-2.035,-0.8765000000000002,-0.75
s2_boundaries,"offset(512, -512)_amp256",3,"[84001, 84002, 84003]","[""APPLICABLE""]",12,0,0,12,0,0,0,0,491.52,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,19.96418835901182,19.965097806060147,19.984123679980236,19.98623766597136,3,19.96066479888704,19.962579151058545,19.98229437016107,19.98448495006135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s2_boundaries,"offset(512, -512)_amp8192",3,"[84001, 84002, 84003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,19.96418835901182,19.965097806060147,19.984123679980236,19.98623766597136,3,19.964831942719698,19.965637697227564,19.984669292602195,19.98678391431049,0,0.0,1.0,1,0,0.0,1.0,1,0.0,0.0,0.01,0.01,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15,14,15.0,15.0,15,14,15.0,15.0,15,0.14,0.15,0.15,0.15
s2_boundaries,shaped-boundaries,2,[87001],"[""APPLICABLE""]",2,2,2,0,0,0,0,0,573.04,1.0,1.0,0.0,2,2,2,2,2,2,2,2,2,0,,,,,0,,,,,0,3.5,6.6499999999999995,7,0,3.5,6.6499999999999995,7,0.0,0.035,0.0665,0.07,-1,3.5,7.55,8,1,4.5,7.6499999999999995,8,-0.01,0.035,0.0755,0.08,-1,0.0,0.8999999999999999,1,1,1.0,1.0,1,-0.01,0.0,0.009,0.01
s2_boundaries,zero_length24576,1,[],"[""APPLICABLE""]",1,1,1,0,0,0,0,0,81.92,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
s2_boundaries,zero_length4096,1,[],"[""APPLICABLE""]",1,1,1,0,0,0,0,0,286.72,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
s2_boundaries,zero_length512,1,[],"[""APPLICABLE""]",1,1,1,0,0,0,0,0,322.56,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
s2_boundaries,zero_length64,1,[],"[""APPLICABLE""]",1,1,1,0,0,0,0,0,327.04,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
s2_training,train_snr10_fixed,3,"[81001, 81002, 81003]","[""APPLICABLE""]",12,3,0,9,0,3,0,0,491.52,0.25,0.0,0.0,3,3,3,3,3,3,3,3,3,3,9.97541955431481,10.00637942871143,10.019226387136706,10.020653826961738,3,9.975971458747566,10.006953726733665,10.019778903237011,10.021203922848494,-2048,-2048.0,-2048.0,-2048,2048,2048.0,2048.0,2048,-20.48,-20.48,-20.48,-20.48,26624,26624.0,26624.0,26624,26624,26624.0,26624.0,26624,266.24,266.24,266.24,266.24,28672,28672.0,28672.0,28672,28672,28672.0,28672.0,28672,286.72,286.72,286.72,286.72
s2_training,train_snr10_quiet-prefix,3,"[81001, 81002, 81003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,9.97541955431481,10.00637942871143,10.019226387136706,10.020653826961738,3,9.975971458747566,10.006953726733665,10.019778903237011,10.021203922848494,4,5.0,6.0,6,4,5.0,6.0,6,0.04,0.05,0.06,0.06,13,14.0,14.0,14,13,14.0,14.0,14,0.13,0.14,0.14,0.14,7,8.5,10.0,10,7,8.5,10.0,10,0.07,0.08499999999999999,0.1,0.1
s2_training,train_snr20_fixed,3,"[81001, 81002, 81003]","[""APPLICABLE""]",12,3,0,9,0,3,0,0,491.52,0.25,0.0,0.0,3,3,3,3,3,3,3,3,3,3,19.97541955431481,20.006379428711426,20.019226387136705,20.020653826961738,3,19.97599463692081,20.006988568468227,20.019764224291897,20.02118374160564,-2047,-2047.0,-2046.1,-2046,2046,2047.0,2047.0,2047,-20.47,-20.47,-20.461000000000002,-20.46,26624,26624.0,26624.0,26624,26624,26624.0,26624.0,26624,266.24,266.24,266.24,266.24,28670,28671.0,28671.0,28671,28670,28671.0,28671.0,28671,286.7,286.71,286.71,286.71
s2_training,train_snr20_quiet-prefix,3,"[81001, 81002, 81003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,19.97541955431481,20.006379428711426,20.019226387136705,20.020653826961738,3,19.97599463692081,20.006988568468227,20.019764224291897,20.02118374160564,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15
s2_training,train_snr30_fixed,3,"[81001, 81002, 81003]","[""APPLICABLE""]",12,3,0,9,0,3,0,0,491.52,0.25,0.0,0.0,3,3,3,3,3,3,3,3,3,3,29.97541955431481,30.006379428711433,30.019226387136708,30.020653826961738,3,29.975825267761962,30.00697945804577,30.019605471776586,30.02100836219112,-2036,-2036.0,-1951.4,-1942,1942,2036.0,2036.0,2036,-20.36,-20.36,-19.514000000000003,-19.42,26624,26624.0,26624.0,26624,26624,26624.0,26624.0,26624,266.24,266.24,266.24,266.24,28566,28660.0,28660.0,28660,28566,28660.0,28660.0,28660,285.66,286.6,286.6,286.6
s2_training,train_snr30_quiet-prefix,3,"[81001, 81002, 81003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,29.97541955431481,30.006379428711433,30.019226387136708,30.020653826961738,3,29.975825267761962,30.00697945804577,30.019605471776586,30.02100836219112,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15
s2_validation,validation_snr0,25,"[82000, 82001, 82002, 82003, 82004, 82005, 82006, 82007, 82008, 82009, 82010, 82011, 82012, 82013, 82014, 82015, 82016, 82017, 82018, 82019, 82020, 82021, 82022, 82023, 82024]","[""APPLICABLE""]",100,0,0,100,0,0,0,1,4096.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,25,-0.07570354104164476,-0.009967412980974122,0.046304479756499095,0.0665004607740892,25,-0.0751326687784165,-0.009404400935221281,0.046872783387349785,0.06707212423424995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s2_validation,validation_snr10,25,"[82000, 82001, 82002, 82003, 82004, 82005, 82006, 82007, 82008, 82009, 82010, 82011, 82012, 82013, 82014, 82015, 82016, 82017, 82018, 82019, 82020, 82021, 82022, 82023, 82024]","[""APPLICABLE""]",100,100,99,0,0,0,0,0,4096.0,1.0,0.99,0.0,100,100,100,100,100,100,100,100,100,25,9.924296458958358,9.990032587019027,10.0463044797565,10.06650046077409,25,9.924872749125445,9.990573898144188,10.046872421447864,10.067078334395239,2,4.0,6.0,7,2,4.0,6.0,7,0.02,0.04,0.06,0.07,12,14.0,15.0,46,12,14.0,15.0,46,0.12,0.14,0.15,0.46,7,10.0,11.049999999999997,41,7,10.0,11.049999999999997,41,0.07,0.1,0.11049999999999997,0.41
s2_validation,validation_snr20,25,"[82000, 82001, 82002, 82003, 82004, 82005, 82006, 82007, 82008, 82009, 82010, 82011, 82012, 82013, 82014, 82015, 82016, 82017, 82018, 82019, 82020, 82021, 82022, 82023, 82024]","[""APPLICABLE""]",100,100,99,0,0,0,0,0,4096.0,1.0,0.99,0.0,100,100,100,100,100,100,100,100,100,25,19.924296458958356,19.990032587019027,20.046304479756497,20.06650046077409,25,19.924883524710335,19.990509860097024,20.046847251062335,20.067049556685713,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15.0,15.0,46,15,15.0,15.0,46,0.15,0.15,0.15,0.46,15,15.0,15.0,46,15,15.0,15.0,46,0.15,0.15,0.15,0.46
s2_validation,validation_snr30,25,"[82000, 82001, 82002, 82003, 82004, 82005, 82006, 82007, 82008, 82009, 82010, 82011, 82012, 82013, 82014, 82015, 82016, 82017, 82018, 82019, 82020, 82021, 82022, 82023, 82024]","[""APPLICABLE""]",100,100,99,0,0,0,0,0,4096.0,1.0,0.99,0.0,100,100,100,100,100,100,100,100,100,25,29.924296458958356,29.990032587019027,30.046304479756497,30.06650046077409,25,29.9247590313117,29.99047560136769,30.04676984699919,30.067229755766448,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15.0,15.0,46,15,15.0,15.0,46,0.15,0.15,0.15,0.46,15,15.0,15.0,46,15,15.0,15.0,46,0.15,0.15,0.15,0.46
s2_validation,validation_snr5,25,"[82000, 82001, 82002, 82003, 82004, 82005, 82006, 82007, 82008, 82009, 82010, 82011, 82012, 82013, 82014, 82015, 82016, 82017, 82018, 82019, 82020, 82021, 82022, 82023, 82024]","[""APPLICABLE""]",100,100,71,0,0,0,0,0,4096.0,1.0,0.71,0.0,100,100,100,100,100,100,100,100,100,25,4.924296458958356,4.990032587019027,5.0463044797564995,5.06650046077409,25,4.924872041724738,4.990589585032271,5.046872545286579,5.0670717352587875,8,20.5,57.84999999999995,119,8,20.5,57.84999999999995,119,0.08,0.20500000000000002,0.5784999999999995,1.19,5,10.0,13.0,14,5,10.0,13.0,14,0.05,0.1,0.13,0.14,-107,-11.5,1.0,5,0,11.5,46.74999999999996,107,-1.07,-0.11499999999999999,0.01,0.05
