stage,group,window,region,seeds,bandwidth_mhz_count,bandwidth_mhz_minimum,bandwidth_mhz_median,bandwidth_mhz_p95,bandwidth_mhz_maximum,bandwidth_error_vs_numpy_bins_count,bandwidth_error_vs_numpy_bins_minimum,bandwidth_error_vs_numpy_bins_median,bandwidth_error_vs_numpy_bins_p95,bandwidth_error_vs_numpy_bins_maximum,flags,observation_scope
s3_finite,alpha0.2_support60mhz,rect,edge,"[91001, 91002, 91003]",6,53.149414,53.619384499999995,53.634643249999996,53.637695,6,-2.56e-05,-2.1760000000000002e-05,-5.12e-06,-5.12e-06,"[""""]","[""finite_window""]"
s3_finite,alpha0.2_support60mhz,rect,steady,"[91001, 91002, 91003]",6,53.515625,53.601074,53.74145525,53.771973,6,-2.816e-05,-8.959999999999999e-06,2.112e-05,2.816e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.4_support70mhz,hann,edge,"[91001, 91002, 91003]",6,59.362793,59.814453,59.95483425,59.960938,6,-3.584e-05,-1.024e-05,3.136e-05,4.096e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.4_support70mhz,hann,steady,"[91001, 91002, 91003]",6,59.606934,59.967041,60.058594,60.070801,6,-3.584e-05,2.3040000000000003e-05,3.328e-05,3.328e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.4_support70mhz,rect,edge,"[91001, 91002, 91003]",6,59.423828,59.729004,59.97314475,60.009766,6,-2.048e-05,7.680000000000001e-06,3.84e-05,4.096e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.4_support70mhz,rect,steady,"[91001, 91002, 91003]",6,59.680176,59.8571775,60.00061075,60.009766,6,-2.816e-05,1.024e-05,3.6479999999999996e-05,3.84e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.6_support80mhz,hann,edge,"[91001, 91002, 91003]",6,66.064453,66.668701,67.07763700000001,67.102051,6,-3.328e-05,-2.56e-06,3.328e-05,3.84e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.6_support80mhz,hann,steady,"[91001, 91002, 91003]",6,66.61377,66.75415050000001,67.00134299999999,67.041016,6,-1.792e-05,2.944e-05,3.712e-05,3.84e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.6_support80mhz,rect,edge,"[91001, 91002, 91003]",6,66.552734,66.9006345,67.1539305,67.211914,6,-3.84e-05,-3.2e-05,-6.4e-06,-5.12e-06,"[""""]","[""finite_window""]"
s3_finite,alpha0.6_support80mhz,rect,steady,"[91001, 91002, 91003]",6,66.442871,66.82128900000001,67.050171,67.089844,6,-2.816e-05,-5.12e-06,1.664e-05,2.048e-05,"[""""]","[""finite_window""]"
s3_finite,excluded_wrap,hann,edge,[91004],2,98.742676,99.041748,99.3109128,99.34082,2,-2.56e-05,-3.839999999999999e-06,1.5744e-05,1.792e-05,"[""""]","[""finite_window""]"
s3_finite,excluded_wrap,hann,steady,[91004],2,98.999023,99.029541,99.0570072,99.060059,2,-3.584e-05,-1.2800000000000013e-06,2.9823999999999998e-05,3.328e-05,"[""""]","[""finite_window""]"
s3_finite,excluded_wrap,rect,edge,[91004],2,98.803711,99.0356445,99.24438465,99.267578,2,-1.024e-05,-2.56e-06,4.351999999999999e-06,5.12e-06,"[""""]","[""finite_window""]"
s3_finite,excluded_wrap,rect,steady,[91004],2,98.88916,98.9318845,98.97033655,98.974609,2,-3.072e-05,-2.176e-05,-1.3696e-05,-1.28e-05,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.2,hann,edge,[91004],2,53.393555,53.479004,53.5559081,53.564453,2,-1.024e-05,7.68e-06,2.3807999999999996e-05,2.56e-05,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.2,hann,steady,[91004],2,53.271484,53.363037000000006,53.4454347,53.45459,2,-3.072e-05,-8.959999999999999e-06,1.0623999999999999e-05,1.28e-05,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.2,rect,edge,[91004],2,53.344727,53.417969,53.4838868,53.491211,2,5.12e-06,2.048e-05,3.4304e-05,3.584e-05,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.2,rect,steady,[91004],2,53.33252,53.430176,53.518066399999995,53.527832,2,-2.56e-06,1.7919999999999998e-05,3.6351999999999993e-05,3.84e-05,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.4,hann,edge,[91004],2,59.692383,59.710693500000005,59.72717295,59.729004,2,7.68e-06,1.1519999999999998e-05,1.4975999999999999e-05,1.536e-05,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.4,hann,steady,[91004],2,59.790039,59.826660000000004,59.8596189,59.863281,2,-2.048e-05,-1.28e-05,-5.888000000000001e-06,-5.12e-06,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.4,rect,edge,[91004],2,59.753418,59.765625,59.7766113,59.777832,2,-2.56e-06,0.0,2.304e-06,2.56e-06,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.4,rect,steady,[91004],2,59.753418,59.8205565,59.880981150000004,59.887695,2,-2.56e-05,-1.152e-05,1.1519999999999989e-06,2.56e-06,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.6,hann,edge,[91004],2,66.906738,67.120361,67.3126217,67.333984,2,-3.072e-05,-2.688e-05,-2.3424e-05,-2.304e-05,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.6,hann,steady,[91004],2,67.028809,67.2119145,67.37670945,67.39502,2,3.328e-05,3.5839999999999996e-05,3.8144e-05,3.84e-05,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.6,rect,edge,[91004],2,66.955566,66.9921875,67.02514685,67.028809,2,-3.328e-05,0.0,2.9951999999999997e-05,3.328e-05,"[""""]","[""finite_window""]"
s3_finite,shift_alpha0.6,rect,steady,[91004],2,67.016602,67.1936035,67.35290485,67.370605,2,-3.84e-05,-1.279999999999998e-06,3.2128e-05,3.584e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha0.7,hann,edge,"[91001, 91002, 91003]",6,70.227051,70.489502,71.17309525,71.276855,6,-3.84e-05,-8.96e-06,3.52e-05,4.096e-05,"[""""]","[""finite_window""]"
s3_refinement,alpha0.7,hann,steady,"[91001, 91002, 91003]",6,70.117188,70.373535,70.7336425,70.76416,6,-3.84e-05,1.28e-05,3.84e-05,4.096e-05,"[""""]","[""finite_window""]"
