kind,flags_raw,flags,epoch,id,config_id,sample_rate_hz,sequence,first_sample,start_tick,done_tick,latency_cycles,latency_us,fft_length,peak_hz,low_hz,high_hz,bandwidth_hz,bandcenter_hz,q_peak,q_low,q_high,peak_codes,rms_codes,total_spectrum_power,peak_spectrum_power,raw_energy,window
frequency,0,,4,0,5,100000000,0,0,256444041072,256444058594,17522,175.22,8192,-12500000,-12536621,18762207,31298828,3112793,3072,3069,5633,9000.0,5809.462509155273,266050555605,121909912400,276478809600,hann
frequency,0,,4,1,5,100000000,1,8192,256444049264,256444066786,17522,175.22,8192,-12500000,-12512207,18762207,31274414,3125000,3072,3071,5633,9000.0,6708.189483642578,276478464840,147459840025,368638412800,hann
frequency,0,,4,2,5,100000000,2,16384,256444057456,256444074945,17489,174.89,8192,-12500000,-12512207,18762207,31274414,3125000,3072,3071,5633,9000.0,6708.189483642578,276478464840,147459840025,368638412800,hann
frequency,0,,4,3,5,100000000,3,24576,256444065648,256444081498,15850,158.5,8192,-12500000,-13427734,18994141,32421875,2783203,3072,2996,5652,9000.0,3354.094741821289,10428785401,1214522564,92159603200,hann
