kind,flags_raw,flags,epoch,id,config_id,sample_rate_hz,sequence,first_sample,start_tick,done_tick,latency_cycles,latency_us,fft_length,peak_hz,low_hz,high_hz,bandwidth_hz,bandcenter_hz,q_peak,q_low,q_high,peak_codes,rms_codes,total_spectrum_power,peak_spectrum_power,raw_energy,window
frequency,0,,2,0,3,100000000,0,0,256219389204,256219406726,17522,175.22,8192,12500000,12451172,12548828,97656,12500000,5120,5116,5124,8000.206115722656,6928.29248046875,378381876754,216713525625,393226131456,hann
frequency,0,,2,1,3,100000000,1,8192,256219397396,256219414918,17522,175.22,8192,12500000,12487793,12512207,24414,12500000,5120,5119,5121,8000.206115722656,8000.103057861328,393226752148,262151168049,524301508608,hann
frequency,0,,2,2,3,100000000,2,16384,256219405588,256219423077,17489,174.89,8192,12500000,12487793,12512207,24414,12500000,5120,5119,5121,8000.206115722656,8000.103057861328,393226752148,262151168049,524301508608,hann
frequency,0,,2,3,3,100000000,3,24576,256219413780,256219429630,15850,158.5,8192,12500000,11389160,13574219,2185059,12481689,5120,5029,5208,8000.206115722656,4000.051528930664,14845119510,2160576324,131075377152,hann
