kind,flags_raw,flags,epoch,id,config_id,sample_rate_hz,sequence,first_sample,start_tick,done_tick,latency_cycles,latency_us,fft_length,peak_hz,low_hz,high_hz,bandwidth_hz,bandcenter_hz,q_peak,q_low,q_high,peak_codes,rms_codes,total_spectrum_power,peak_spectrum_power,raw_energy,window
frequency,0,,1,0,2,100000000,0,0,256106009371,256106026894,17523,175.23,8192,12500000,12329102,12670898,341797,12500000,5120,5106,5134,8000.206115722656,6928.29248046875,786452239599,589839360100,393226131456,rect
frequency,32,RESOLUTION_LIMITED,1,1,2,100000000,1,8192,256106017563,256106035086,17523,175.23,8192,12500000,12500000,12500000,0,12500000,5120,5120,5120,8000.206115722656,8000.103057861328,1048604672392,1048604672196,524301508608,rect
frequency,32,RESOLUTION_LIMITED,1,2,2,100000000,2,16384,256106025755,256106043244,17489,174.89,8192,12500000,12500000,12500000,0,12500000,5120,5120,5120,8000.206115722656,8000.103057861328,1048604672392,1048604672196,524301508608,rect
frequency,0,,1,3,2,100000000,3,24576,256106033947,256106049798,15851,158.51,8192,12500000,11999512,13000488,1000977,12500000,5120,5079,5161,8000.206115722656,4000.051528930664,262150927011,65538048016,131075377152,rect
