kind,flags_raw,flags,epoch,id,config_id,sample_rate_hz,sequence,first_sample,start_tick,done_tick,latency_cycles,latency_us,fft_length,peak_hz,low_hz,high_hz,bandwidth_hz,bandcenter_hz,q_peak,q_low,q_high,peak_codes,rms_codes,total_spectrum_power,peak_spectrum_power,raw_energy,window
frequency,0,,8,0,9,100000000,0,0,256898403334,256898420855,17521,175.21,8192,5920410,-14599609,14416504,29016113,-91553,4581,2900,5277,7672.10856628418,4326.361587524414,147778016595,624306436,153332979323,hann
frequency,0,,8,1,9,100000000,1,8192,256898411526,256898429047,17521,175.21,8192,-8020020,-14526367,14624023,29150391,48828,3439,2906,5294,7634.145004272461,5004.055679321289,153811374029,505238029,205132376803,hann
frequency,0,,8,2,9,100000000,2,16384,256898419718,256898437207,17489,174.89,8192,-8178711,-14526367,14562988,29089355,18311,3426,2906,5289,7627.1240234375,5004.518112182617,153856644665,560438864,205170292013,hann
frequency,0,,8,3,9,100000000,3,24576,256898427910,256898443761,15851,158.51,8192,-2893066,-14196777,14819336,29016113,311279,3859,2933,5310,7673.557510375977,2513.7491149902344,6045778225,19535168,51764712778,hann
