kind,flags_raw,flags,epoch,id,config_id,sample_rate_hz,sequence,first_sample,start_tick,done_tick,latency_cycles,latency_us,fft_length,peak_hz,low_hz,high_hz,bandwidth_hz,bandcenter_hz,q_peak,q_low,q_high,peak_codes,rms_codes,total_spectrum_power,peak_spectrum_power,raw_energy,window
frequency,0,,3,0,4,100000000,0,0,256331372918,256331390439,17521,175.21,8192,-12500000,-12622070,18774414,31396484,3076172,3072,3062,5634,9000.0,5809.462509155273,552957999495,331785216064,276478809600,rect
frequency,0,,3,1,4,100000000,1,8192,256331381110,256331398631,17521,175.21,8192,-12500000,-12500000,18750000,31250000,3125000,3072,3072,5632,9000.0,6708.189483642578,737276930228,589839360100,368638412800,rect
frequency,0,,3,2,4,100000000,2,16384,256331389302,256331406791,17489,174.89,8192,-12500000,-12500000,18750000,31250000,3125000,3072,3072,5632,9000.0,6708.189483642578,737276930228,589839360100,368638412800,rect
frequency,0,,3,3,4,100000000,3,24576,256331397494,256331413345,15851,158.51,8192,-12500000,-12915039,18859863,31774902,2972412,3072,3038,5641,9000.0,3354.094741821289,184318765953,36864768004,92159603200,rect
