kind,flags_raw,flags,epoch,id,config_id,sample_rate_hz,sequence,first_sample,start_tick,done_tick,latency_cycles,latency_us,fft_length,peak_hz,low_hz,high_hz,bandwidth_hz,bandcenter_hz,q_peak,q_low,q_high,peak_codes,rms_codes,total_spectrum_power,peak_spectrum_power,raw_energy,window
frequency,0,,7,0,8,100000000,0,0,256784171787,256784189310,17523,175.23,8192,5920410,-14562988,14526367,29089355,-18311,4581,2903,5286,7672.10856628418,4326.361587524414,306666364654,1053947305,153332979323,rect
frequency,0,,7,1,8,100000000,1,8192,256784179979,256784197502,17523,175.23,8192,-4992676,-14514160,14562988,29077148,24414,3687,2907,5289,7634.145004272461,5004.055679321289,410264527490,1664188020,205132376803,rect
frequency,0,,7,2,8,100000000,2,16384,256784188171,256784205660,17489,174.89,8192,7287598,-14428711,14514160,28942871,42725,4693,2914,5285,7627.1240234375,5004.518112182617,410340763627,1380354425,205170292013,rect
frequency,0,,7,3,8,100000000,3,24576,256784196363,256784212214,15851,158.51,8192,-9057617,-14282227,14758301,29040527,238037,3354,2926,5305,7673.557510375977,2513.7491149902344,103529248439,498048080,51764712778,rect
