kind,flags_raw,flags,epoch,id,config_id,sample_rate_hz,sequence,first_sample,start_tick,done_tick,latency_cycles,latency_us,fft_length,peak_hz,low_hz,high_hz,bandwidth_hz,bandcenter_hz,q_peak,q_low,q_high,peak_codes,rms_codes,total_spectrum_power,peak_spectrum_power,raw_energy,window
frequency,0,,9,0,10,100000000,0,0,257012317775,257012335298,17523,175.23,8192,18444824,-47058105,47045898,94104004,-6104,5607,241,7950,15306.926040649414,4110.742904663086,276859349604,236860264,138430114487,rect
frequency,0,,9,1,10,100000000,1,8192,257012325967,257012343490,17523,175.23,8192,-46154785,-47143555,47070313,94213867,-36621,315,234,7952,12066.37712097168,4381.906890869141,314591067282,331202546,157295477255,rect
frequency,0,,9,2,10,100000000,2,16384,257012334159,257012351648,17489,174.89,8192,31140137,-47045898,47082520,94128418,18311,6647,242,7953,12703.98062133789,4379.145416259766,314194818566,272518397,157097284515,rect
frequency,0,,9,3,10,100000000,3,24576,257012342351,257012358202,15851,158.51,8192,-4370117,-46899414,46997070,93896484,48828,3738,254,7946,12490.617797851562,2460.6314239501953,99200163698,77997376,49600159999,rect
