kind,flags_raw,flags,epoch,id,config_id,sample_rate_hz,sequence,first_sample,start_tick,done_tick,latency_cycles,latency_us,fft_length,peak_hz,low_hz,high_hz,bandwidth_hz,bandcenter_hz,q_peak,q_low,q_high,peak_codes,rms_codes,total_spectrum_power,peak_spectrum_power,raw_energy,window
frequency,0,,5,0,6,100000000,0,0,256557216788,256557234310,17522,175.22,8192,-19653320,-19982910,-10021973,9960938,-15002441,2486,2459,3275,7000.674026489258,6062.17155456543,602110840627,1014178952,301055377081,rect
frequency,0,,5,1,6,100000000,1,8192,256557224980,256557242502,17522,175.22,8192,-9655762,-9924316,3259277,13183594,-3332520,3305,3283,4363,7000.674026489258,6999.994277954102,802814752952,1012887940,401407344945,rect
frequency,0,,5,2,6,100000000,2,16384,256557233172,256557250661,17489,174.89,8192,16320801,3405762,16589355,13183594,9997559,5433,4375,5455,7000.674026489258,6999.994720458984,802815715579,1012887200,401407395941,rect
frequency,0,,5,3,6,100000000,3,24576,256557241364,256557257214,15850,158.5,8192,17016602,16418457,20239258,3820801,18328857,5490,5441,5754,7000.674026489258,3499.996597290039,200703677599,1043008565,100351804931,rect
