kind,flags_raw,flags,epoch,id,config_id,sample_rate_hz,sequence,first_sample,start_tick,done_tick,latency_cycles,latency_us,fft_length,peak_hz,low_hz,high_hz,bandwidth_hz,bandcenter_hz,q_peak,q_low,q_high,peak_codes,rms_codes,total_spectrum_power,peak_spectrum_power,raw_energy,window
frequency,0,,10,0,11,100000000,0,0,257128962436,257128979958,17522,175.22,8192,19982910,-47021484,47070313,94091797,24414,5733,244,7952,15306.926040649414,4110.742904663086,117786673102,80172328,138430114487,hann
frequency,0,,10,1,11,100000000,1,8192,257128970628,257128988150,17522,175.22,8192,3088379,-47119141,47045898,94165039,-36621,4349,236,7950,12066.37712097168,4381.906890869141,116263492235,74970493,157295477255,hann
frequency,0,,10,2,11,100000000,2,16384,257128978820,257128996309,17489,174.89,8192,18762207,-46984863,47131348,94116211,73242,5633,247,7957,12703.98062133789,4379.145416259766,120310483780,77485780,157097284515,hann
frequency,0,,10,3,11,100000000,3,24576,257128987012,257129002862,15850,158.5,8192,-4382324,-46801758,46984863,93786621,91553,3737,262,7945,12490.617797851562,2460.6314239501953,11561240006,9461250,49600159999,hann
